skill_name	repo_spec	relative_path	discovered_from
ai-video-qa	guia-matthieu/clawfu-skills	skills/video/ai-video-qa	https://awesomeclaude.ai/awesome-claude-skills
ai-voice-design	guia-matthieu/clawfu-skills	skills/video/ai-voice-design	https://awesomeclaude.ai/awesome-claude-skills
ai-wrapper-product	sickn33/antigravity-awesome-skills	skills/ai-wrapper-product	https://github.com/sickn33/antigravity-awesome-skills
airflow-dag-patterns	sickn33/antigravity-awesome-skills	skills/airflow-dag-patterns	https://github.com/sickn33/antigravity-awesome-skills
airtable-automation	sickn33/antigravity-awesome-skills	skills/airtable-automation	https://github.com/sickn33/antigravity-awesome-skills
aivoov-automation	ComposioHQ/awesome-claude-skills	composio-skills/aivoov-automation	https://github.com/ComposioHQ/awesome-claude-skills
alchemy-automation	ComposioHQ/awesome-claude-skills	composio-skills/alchemy-automation	https://github.com/ComposioHQ/awesome-claude-skills
algodocs-automation	ComposioHQ/awesome-claude-skills	composio-skills/algodocs-automation	https://github.com/ComposioHQ/awesome-claude-skills
algolia-automation	ComposioHQ/awesome-claude-skills	composio-skills/algolia-automation	https://github.com/ComposioHQ/awesome-claude-skills
algolia-search	sickn33/antigravity-awesome-skills	skills/algolia-search	https://github.com/sickn33/antigravity-awesome-skills
algorand-vulnerability-scanner	trailofbits/skills	plugins/building-secure-contracts/skills/algorand-vulnerability-scanner	https://awesomeclaude.ai/awesome-claude-skills
algorithmic-art	sickn33/antigravity-awesome-skills	skills/algorithmic-art	https://github.com/sickn33/antigravity-awesome-skills
all-images-ai-automation	ComposioHQ/awesome-claude-skills	composio-skills/all-images-ai-automation	https://github.com/ComposioHQ/awesome-claude-skills
alpha-vantage	sickn33/antigravity-awesome-skills	skills/alpha-vantage	https://github.com/sickn33/antigravity-awesome-skills
alpha-vantage-automation	ComposioHQ/awesome-claude-skills	composio-skills/alpha-vantage-automation	https://github.com/ComposioHQ/awesome-claude-skills
alphafold-database	K-Dense-AI/claude-scientific-skills	scientific-skills/alphafold-database	https://awesomeclaude.ai/awesome-claude-skills
altitude-horizon-framework	deanpeters/Product-Manager-Skills	skills/altitude-horizon-framework	https://awesomeclaude.ai/awesome-claude-skills
altoviz-automation	ComposioHQ/awesome-claude-skills	composio-skills/altoviz-automation	https://github.com/ComposioHQ/awesome-claude-skills
alttext-ai-automation	ComposioHQ/awesome-claude-skills	composio-skills/alttext-ai-automation	https://github.com/ComposioHQ/awesome-claude-skills
amap-traffic	agentbay-ai/agentbay-skills	amap-traffic	https://awesomeclaude.ai/awesome-claude-skills
amara-automation	ComposioHQ/awesome-claude-skills	composio-skills/amara-automation	https://github.com/ComposioHQ/awesome-claude-skills
amazon-alexa	sickn33/antigravity-awesome-skills	skills/amazon-alexa	https://github.com/sickn33/antigravity-awesome-skills
amazon-automation	ComposioHQ/awesome-claude-skills	composio-skills/amazon-automation	https://github.com/ComposioHQ/awesome-claude-skills
ambee-automation	ComposioHQ/awesome-claude-skills	composio-skills/ambee-automation	https://github.com/ComposioHQ/awesome-claude-skills
ambient-weather-automation	ComposioHQ/awesome-claude-skills	composio-skills/ambient-weather-automation	https://github.com/ComposioHQ/awesome-claude-skills
amcards-automation	ComposioHQ/awesome-claude-skills	composio-skills/amcards-automation	https://github.com/ComposioHQ/awesome-claude-skills
amplitude-automation	sickn33/antigravity-awesome-skills	skills/amplitude-automation	https://github.com/sickn33/antigravity-awesome-skills
analytics-product	sickn33/antigravity-awesome-skills	skills/analytics-product	https://github.com/sickn33/antigravity-awesome-skills
analytics-tracking	sickn33/antigravity-awesome-skills	skills/analytics-tracking	https://github.com/sickn33/antigravity-awesome-skills
analyzing-financial-statements	anthropics/claude-cookbooks@main:skills	skills/custom_skills/analyzing-financial-statements	https://simonwillison.net/2025/Oct/16/claude-skills/
anchor-browser-automation	ComposioHQ/awesome-claude-skills	composio-skills/anchor-browser-automation	https://github.com/ComposioHQ/awesome-claude-skills
andrej-karpathy	sickn33/antigravity-awesome-skills	skills/andrej-karpathy	https://github.com/sickn33/antigravity-awesome-skills
android-jetpack-compose-expert	sickn33/antigravity-awesome-skills	skills/android-jetpack-compose-expert	https://github.com/sickn33/antigravity-awesome-skills
android_ui_verification	sickn33/antigravity-awesome-skills	skills/android_ui_verification	https://github.com/sickn33/antigravity-awesome-skills
angular	sickn33/antigravity-awesome-skills	skills/angular	https://github.com/sickn33/antigravity-awesome-skills
angular-architect	jeffallan/claude-skills	skills/angular-architect	https://awesomeclaude.ai/awesome-claude-skills
angular-best-practices	sickn33/antigravity-awesome-skills	skills/angular-best-practices	https://github.com/sickn33/antigravity-awesome-skills
angular-migration	sickn33/antigravity-awesome-skills	skills/angular-migration	https://github.com/sickn33/antigravity-awesome-skills
angular-state-management	sickn33/antigravity-awesome-skills	skills/angular-state-management	https://github.com/sickn33/antigravity-awesome-skills
angular-ui-patterns	sickn33/antigravity-awesome-skills	skills/angular-ui-patterns	https://github.com/sickn33/antigravity-awesome-skills
animejs-animation	sickn33/antigravity-awesome-skills	skills/animejs-animation	https://github.com/sickn33/antigravity-awesome-skills
anndata	K-Dense-AI/claude-scientific-skills	scientific-skills/anndata	https://awesomeclaude.ai/awesome-claude-skills
anonyflow-automation	ComposioHQ/awesome-claude-skills	composio-skills/anonyflow-automation	https://github.com/ComposioHQ/awesome-claude-skills
anthropic	raintree-technology/claude-starter	.claude/skills/anthropic	https://awesomeclaude.ai/awesome-claude-skills
anthropic-administrator-automation	ComposioHQ/awesome-claude-skills	composio-skills/anthropic-administrator-automation	https://github.com/ComposioHQ/awesome-claude-skills
anthropic_administrator-automation	ComposioHQ/awesome-claude-skills	composio-skills/anthropic_administrator-automation	https://github.com/ComposioHQ/awesome-claude-skills
anti-reversing-techniques	sickn33/antigravity-awesome-skills	skills/anti-reversing-techniques	https://github.com/sickn33/antigravity-awesome-skills
antigravity-design-expert	sickn33/antigravity-awesome-skills	skills/antigravity-design-expert	https://github.com/sickn33/antigravity-awesome-skills
antigravity-workflows	sickn33/antigravity-awesome-skills	skills/antigravity-workflows	https://github.com/sickn33/antigravity-awesome-skills
apaleo-automation	ComposioHQ/awesome-claude-skills	composio-skills/apaleo-automation	https://github.com/ComposioHQ/awesome-claude-skills
apex27-automation	ComposioHQ/awesome-claude-skills	composio-skills/apex27-automation	https://github.com/ComposioHQ/awesome-claude-skills
api-bible-automation	ComposioHQ/awesome-claude-skills	composio-skills/api-bible-automation	https://github.com/ComposioHQ/awesome-claude-skills
api-design-principles	sickn33/antigravity-awesome-skills	skills/api-design-principles	https://github.com/sickn33/antigravity-awesome-skills
api-designer	jeffallan/claude-skills	skills/api-designer	https://awesomeclaude.ai/awesome-claude-skills
api-documentation	sickn33/antigravity-awesome-skills	skills/api-documentation	https://github.com/sickn33/antigravity-awesome-skills
api-documentation-generator	sickn33/antigravity-awesome-skills	skills/api-documentation-generator	https://github.com/sickn33/antigravity-awesome-skills
api-documenter	sickn33/antigravity-awesome-skills	skills/api-documenter	https://github.com/sickn33/antigravity-awesome-skills
api-endpoint-builder	sickn33/antigravity-awesome-skills	skills/api-endpoint-builder	https://github.com/sickn33/antigravity-awesome-skills
api-fuzzing-bug-bounty	sickn33/antigravity-awesome-skills	skills/api-fuzzing-bug-bounty	https://github.com/sickn33/antigravity-awesome-skills
api-integration-specialist	davila7/claude-code-templates	cli-tool/components/skills/development/api-integration-specialist	https://www.aitmpl.com/
api-labz-automation	ComposioHQ/awesome-claude-skills	composio-skills/api-labz-automation	https://github.com/ComposioHQ/awesome-claude-skills
api-ninjas-automation	ComposioHQ/awesome-claude-skills	composio-skills/api-ninjas-automation	https://github.com/ComposioHQ/awesome-claude-skills
api-patterns	sickn33/antigravity-awesome-skills	skills/api-patterns	https://github.com/sickn33/antigravity-awesome-skills
api-security-best-practices	sickn33/antigravity-awesome-skills	skills/api-security-best-practices	https://github.com/sickn33/antigravity-awesome-skills
api-security-testing	sickn33/antigravity-awesome-skills	skills/api-security-testing	https://github.com/sickn33/antigravity-awesome-skills
api-sports-automation	ComposioHQ/awesome-claude-skills	composio-skills/api-sports-automation	https://github.com/ComposioHQ/awesome-claude-skills
api-testing-observability-api-mock	sickn33/antigravity-awesome-skills	skills/api-testing-observability-api-mock	https://github.com/sickn33/antigravity-awesome-skills
api2pdf-automation	ComposioHQ/awesome-claude-skills	composio-skills/api2pdf-automation	https://github.com/ComposioHQ/awesome-claude-skills
apiflash-automation	ComposioHQ/awesome-claude-skills	composio-skills/apiflash-automation	https://github.com/ComposioHQ/awesome-claude-skills
apify-actor-development	sickn33/antigravity-awesome-skills	skills/apify-actor-development	https://github.com/sickn33/antigravity-awesome-skills
apify-actorization	sickn33/antigravity-awesome-skills	skills/apify-actorization	https://github.com/sickn33/antigravity-awesome-skills
apify-audience-analysis	sickn33/antigravity-awesome-skills	skills/apify-audience-analysis	https://github.com/sickn33/antigravity-awesome-skills
apify-automation	ComposioHQ/awesome-claude-skills	composio-skills/apify-automation	https://github.com/ComposioHQ/awesome-claude-skills
apify-brand-reputation-monitoring	sickn33/antigravity-awesome-skills	skills/apify-brand-reputation-monitoring	https://github.com/sickn33/antigravity-awesome-skills
apify-competitor-intelligence	sickn33/antigravity-awesome-skills	skills/apify-competitor-intelligence	https://github.com/sickn33/antigravity-awesome-skills
apify-content-analytics	sickn33/antigravity-awesome-skills	skills/apify-content-analytics	https://github.com/sickn33/antigravity-awesome-skills
apify-ecommerce	sickn33/antigravity-awesome-skills	skills/apify-ecommerce	https://github.com/sickn33/antigravity-awesome-skills
apify-influencer-discovery	sickn33/antigravity-awesome-skills	skills/apify-influencer-discovery	https://github.com/sickn33/antigravity-awesome-skills
apify-lead-generation	sickn33/antigravity-awesome-skills	skills/apify-lead-generation	https://github.com/sickn33/antigravity-awesome-skills
apify-market-research	sickn33/antigravity-awesome-skills	skills/apify-market-research	https://github.com/sickn33/antigravity-awesome-skills
apify-trend-analysis	sickn33/antigravity-awesome-skills	skills/apify-trend-analysis	https://github.com/sickn33/antigravity-awesome-skills
apify-ultimate-scraper	sickn33/antigravity-awesome-skills	skills/apify-ultimate-scraper	https://github.com/sickn33/antigravity-awesome-skills
apilio-automation	ComposioHQ/awesome-claude-skills	composio-skills/apilio-automation	https://github.com/ComposioHQ/awesome-claude-skills
apipie-ai-automation	ComposioHQ/awesome-claude-skills	composio-skills/apipie-ai-automation	https://github.com/ComposioHQ/awesome-claude-skills
apitemplate-io-automation	ComposioHQ/awesome-claude-skills	composio-skills/apitemplate-io-automation	https://github.com/ComposioHQ/awesome-claude-skills
apiverve-automation	ComposioHQ/awesome-claude-skills	composio-skills/apiverve-automation	https://github.com/ComposioHQ/awesome-claude-skills
apollo-automation	ComposioHQ/awesome-claude-skills	composio-skills/apollo-automation	https://github.com/ComposioHQ/awesome-claude-skills
app-builder	sickn33/antigravity-awesome-skills	skills/app-builder	https://github.com/sickn33/antigravity-awesome-skills
app-store-optimization	sickn33/antigravity-awesome-skills	skills/app-store-optimization	https://github.com/sickn33/antigravity-awesome-skills
appcircle-automation	ComposioHQ/awesome-claude-skills	composio-skills/appcircle-automation	https://github.com/ComposioHQ/awesome-claude-skills
appdeploy	sickn33/antigravity-awesome-skills	skills/appdeploy	https://github.com/sickn33/antigravity-awesome-skills
appdrag-automation	ComposioHQ/awesome-claude-skills	composio-skills/appdrag-automation	https://github.com/ComposioHQ/awesome-claude-skills
application-performance-performance-optimization	sickn33/antigravity-awesome-skills	skills/application-performance-performance-optimization	https://github.com/sickn33/antigravity-awesome-skills
applying-brand-guidelines	anthropics/claude-cookbooks@main:skills	skills/custom_skills/applying-brand-guidelines	https://simonwillison.net/2025/Oct/16/claude-skills/
appointo-automation	ComposioHQ/awesome-claude-skills	composio-skills/appointo-automation	https://github.com/ComposioHQ/awesome-claude-skills
appsflyer-automation	ComposioHQ/awesome-claude-skills	composio-skills/appsflyer-automation	https://github.com/ComposioHQ/awesome-claude-skills
appveyor-automation	ComposioHQ/awesome-claude-skills	composio-skills/appveyor-automation	https://github.com/ComposioHQ/awesome-claude-skills
aptos	raintree-technology/claude-starter	.claude/skills/aptos	https://awesomeclaude.ai/awesome-claude-skills
arboreto	K-Dense-AI/claude-scientific-skills	scientific-skills/arboreto	https://awesomeclaude.ai/awesome-claude-skills
architect-review	sickn33/antigravity-awesome-skills	skills/architect-review	https://github.com/sickn33/antigravity-awesome-skills
architecture	sickn33/antigravity-awesome-skills	skills/architecture	https://github.com/sickn33/antigravity-awesome-skills
architecture-decision-records	sickn33/antigravity-awesome-skills	skills/architecture-decision-records	https://github.com/sickn33/antigravity-awesome-skills
architecture-designer	jeffallan/claude-skills	skills/architecture-designer	https://awesomeclaude.ai/awesome-claude-skills
architecture-patterns	sickn33/antigravity-awesome-skills	skills/architecture-patterns	https://github.com/sickn33/antigravity-awesome-skills
argument-hint-no-args	avifenesh/agnix	tests/fixtures/invalid/skills/argument-hint-no-args	https://awesomeclaude.ai/awesome-claude-skills
arm-cortex-expert	sickn33/antigravity-awesome-skills	skills/arm-cortex-expert	https://github.com/sickn33/antigravity-awesome-skills
article-extractor	michalparkola/tapestry-skills-for-claude-code@main:article-extractor	article-extractor	https://awesomeclaude.ai/awesome-claude-skills
artifacts-builder	ComposioHQ/awesome-claude-skills	artifacts-builder	https://github.com/ComposioHQ/awesome-claude-skills
aryn-automation	ComposioHQ/awesome-claude-skills	composio-skills/aryn-automation	https://github.com/ComposioHQ/awesome-claude-skills
asana-automation	sickn33/antigravity-awesome-skills	skills/asana-automation	https://github.com/sickn33/antigravity-awesome-skills
ascora-automation	ComposioHQ/awesome-claude-skills	composio-skills/ascora-automation	https://github.com/ComposioHQ/awesome-claude-skills
ashby-automation	ComposioHQ/awesome-claude-skills	composio-skills/ashby-automation	https://github.com/ComposioHQ/awesome-claude-skills
asin-data-api-automation	ComposioHQ/awesome-claude-skills	composio-skills/asin-data-api-automation	https://github.com/ComposioHQ/awesome-claude-skills
ask-questions-if-underspecified	sickn33/antigravity-awesome-skills	skills/ask-questions-if-underspecified	https://github.com/sickn33/antigravity-awesome-skills
astica-ai-automation	ComposioHQ/awesome-claude-skills	composio-skills/astica-ai-automation	https://github.com/ComposioHQ/awesome-claude-skills
astropy	sickn33/antigravity-awesome-skills	skills/astropy	https://github.com/sickn33/antigravity-awesome-skills
async-interview-automation	ComposioHQ/awesome-claude-skills	composio-skills/async-interview-automation	https://github.com/ComposioHQ/awesome-claude-skills
async-python-patterns	sickn33/antigravity-awesome-skills	skills/async-python-patterns	https://github.com/sickn33/antigravity-awesome-skills
atheris	trailofbits/skills	plugins/testing-handbook-skills/skills/atheris	https://awesomeclaude.ai/awesome-claude-skills
atlassian	sanjay3290/ai-skills@main:skills	skills/atlassian	https://awesomeclaude.ai/awesome-claude-skills
atlassian-automation	ComposioHQ/awesome-claude-skills	composio-skills/atlassian-automation	https://github.com/ComposioHQ/awesome-claude-skills
atlassian-mcp	jeffallan/claude-skills	skills/atlassian-mcp	https://awesomeclaude.ai/awesome-claude-skills
attack-tree-construction	sickn33/antigravity-awesome-skills	skills/attack-tree-construction	https://github.com/sickn33/antigravity-awesome-skills
attio-automation	ComposioHQ/awesome-claude-skills	composio-skills/attio-automation	https://github.com/ComposioHQ/awesome-claude-skills
audience-research	guia-matthieu/clawfu-skills	skills/strategy/audience-research	https://awesomeclaude.ai/awesome-claude-skills
audio-editing	guia-matthieu/clawfu-skills	skills/audio/audio-editing	https://awesomeclaude.ai/awesome-claude-skills
audio-logo-design	guia-matthieu/clawfu-skills	skills/audio/audio-logo-design	https://awesomeclaude.ai/awesome-claude-skills
audio-transcriber	sickn33/antigravity-awesome-skills	skills/audio-transcriber	https://github.com/sickn33/antigravity-awesome-skills
audiobook-production	guia-matthieu/clawfu-skills	skills/audio/audiobook-production	https://awesomeclaude.ai/awesome-claude-skills
audit-context-building	sickn33/antigravity-awesome-skills	skills/audit-context-building	https://github.com/sickn33/antigravity-awesome-skills
audit-prep-assistant	trailofbits/skills	plugins/building-secure-contracts/skills/audit-prep-assistant	https://awesomeclaude.ai/awesome-claude-skills
audit-skills	sickn33/antigravity-awesome-skills	skills/audit-skills	https://github.com/sickn33/antigravity-awesome-skills
auri-core	sickn33/antigravity-awesome-skills	skills/auri-core	https://github.com/sickn33/antigravity-awesome-skills
auth	raintree-technology/claude-starter	.claude/skills/plaid/auth	https://awesomeclaude.ai/awesome-claude-skills
